Keyword,Search Volume (mo),CPC (USD),Competition (0-1),Keyword Difficulty (0-100),Cluster,Priority,90-Day Rankable,Notes
impact windows miami,880,22.49,0.29,51,Impact Windows - Core,Tier 2,No - 6-9mo stretch,Highest core volume but KDI 51; pursue after city pages rank
hurricane impact windows,2400,14.59,0.65,28,Impact Windows - Core,Tier 1,Yes,Massive cluster anchor; informational+commercial; low KDI
impact windows near me,1300,29.50,0.49,23,Impact Windows - Core,Tier 1,Yes,Local pack play; highest CPC in cluster; GBP critical
impact windows fort lauderdale,260,21.78,0.81,34,Impact Windows - City,Tier 1,Yes,Broward anchor; SERP full of installer pages
impact windows boca raton,140,23.54,0.64,24,Impact Windows - City,Tier 1,Yes,Palm Beach anchor; KDI 24 is gift; many installer SERPs
impact doors miami,480,12.72,0.37,48,Impact Doors - Core,Tier 2,Partial,Companion to impact windows; lower CPC; harder KDI
impact windows south florida,170,23.77,0.84,—,Impact Windows - Region,Tier 2,Yes,Strong regional modifier; pair with /south-florida hub page
impact windows palm beach,70,29.43,0.77,49,Impact Windows - City,Tier 2,Partial,High CPC but moderate KDI; build dedicated city page
hurricane windows miami,320,14.18,0.55,—,Hurricane Windows - Core,Tier 2,Partial,Synonym pattern; include in copy not URL slug
hurricane windows fort lauderdale,90,—,0.40,36,Hurricane Windows - City,Tier 2,Yes,Pair on FTL page with impact windows synonym
impact windows pembroke pines,70,—,1.00,0,Impact Windows - Neighborhood,Tier 1,Yes - 30 days,KDI 0 - trivial win; build dedicated city page immediately
impact windows hollywood fl,70,20.75,0.39,6,Impact Windows - Neighborhood,Tier 1,Yes - 30-45 days,KDI 6 with paying CPC; dedicated page
impact windows coral gables,90,—,0.50,3,Impact Windows - Neighborhood,Tier 1,Yes - 30-45 days,KDI 3 trivial; affluent buyer pool
impact windows weston,70,—,0.33,35,Impact Windows - Neighborhood,Tier 1,Yes - 60 days,Affluent Broward; build dedicated page
impact windows pinecrest,70,—,0.00,0,Impact Windows - Neighborhood,Tier 1,Yes - 30 days,KDI 0; ultra-affluent Miami-Dade buyer
impact windows aventura,40,—,1.00,—,Impact Windows - Neighborhood,Tier 2,Yes,Lower volume but high-end market
impact windows kendall,50,—,0.95,—,Impact Windows - Neighborhood,Tier 2,Yes,Add as content section on Miami page
impact windows installation miami,0,—,0.00,—,Impact Windows - Long-tail,Tier 3,Yes,No volume but ranks free; include in body copy
impact windows cost miami,30,12.99,0.90,—,Impact Windows - Informational,Tier 2,Yes,Pricing intent - build /cost guide
impact glass miami,50,15.84,0.72,—,Impact Glass - Synonym,Tier 3,Partial,Industry synonym; mention in copy
pool builders miami,390,6.52,0.58,—,RUNNER-UP: Pool,Excluded,—,CPC too low for high-ticket agency play
custom pool builders miami,30,—,0.33,—,RUNNER-UP: Pool,Excluded,—,Low volume; pool builders generally low CPC
pool resurfacing miami,260,5.42,0.10,—,RUNNER-UP: Pool,Excluded,—,Low ticket; low CPC
pool remodeling miami,320,6.75,0.07,—,RUNNER-UP: Pool,Excluded,—,Easy to rank but lead value too low
pool builders fort lauderdale,480,8.59,0.82,—,RUNNER-UP: Pool,Excluded,—,Higher comp; still sub-$10 CPC
pool builders boca raton,320,11.51,0.56,—,RUNNER-UP: Pool,Excluded,—,Best of pool segment but still below threshold
roofing contractors miami,480,21.69,0.73,—,RUNNER-UP: Roofing,Excluded,—,Good CPC but comp 0.73; national franchise wall
roof replacement miami,210,22.89,0.56,—,RUNNER-UP: Roofing,Excluded,—,Solid CPC but dominated by big roofers
roof replacement fort lauderdale,260,38.19,0.70,—,RUNNER-UP: Roofing,Held,—,Highest CPC tested - revisit as secondary niche
roofing companies miami,590,21.69,0.73,—,RUNNER-UP: Roofing,Excluded,—,High volume but comp 0.73
